Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
Airbag H/wire Duty,Airbag,220105,W,50,100,,7E4
Auxillary Battery Voltage,Aux Batt Volts,220101,AD*0.1,11,14.6,V,7E4
Available Charge Power,Max REGEN,220101,(F*256+G)/100,0,98,kW,7E4
Available Discharge Power,Max POWER,220101,(H*256+I)/100,0,98,kW,7E4
Battery Cell Voltage Deviation,V Diff,220105,U/50,0,0.5,V,7E4
Battery Current,Batt Current,220101,(SIGNED(K)*256+L)/10,-230,230,A,7E4
Battery DC Voltage,Batt Volts,220101,(M*256+N)/10,268.8,403.2,V,7E4
Battery Fan Feedback,Batt Fan SPD,220101,AC,0,120,Hz,7E4
Battery Fan Status,Batt Fan MOD,220101,AB,0,9,,7E4
Battery Heater 1 Temperature,Heater Temp1,220105,SIGNED(X),0,30,C,7E4
Battery Heater 2 Temperature,Heater Temp2,220105,SIGNED(Y),0,30,C,7E4
Battery Inlet Temperature,Batt InletT,220101,SIGNED(W),-40,80,C,7E4
Battery Max Temperature,Batt MaxT,220101,SIGNED(O),-40,80,C,7E4
Battery Min Temperature,Batt MinT,220101,SIGNED(P),-40,80,C,7E4
Battery Module 01 Temperature,Batt Temp01,220101,SIGNED(Q),-40,80,C,7E4
Battery Module 02 Temperature,Batt Temp02,220101,SIGNED(R),-40,80,C,7E4
Battery Module 03 Temperature,Batt Temp03,220101,SIGNED(S),-40,80,C,7E4
Battery Module 04 Temperature,Batt Temp04,220101,SIGNED(T),-40,80,C,7E4
Battery Power,Energy Draw,220101,((M*256+N)(SIGNED(K)*256+L))/100000,-90,90,kW,7E4
BMS Ignition,BMS Ignit.,220101,{AY:2},0,1,,7E4
BMS Main Relay,BMS Relay,220101,{J:0},0,1,,7E4
Cumulative Charge Current,CCC,220101,((AE*2^24)+(AF*2^16)+(AG*2^8)+AH)/10,0,1000000,Ah,7E4
Cumulative Discharge Current,CDC,220101,((AI*2^24)+(AJ*2^16)+(AK*2^8)+AL)/10,0,1000000,Ah,7E4
Cumulative Energy Charged,CEC,220101,((AM*2^24)+(AN*2^16)+(AO*2^8)+AP)/10,0,1000000,kWh,7E4
Cumulative Energy Discharged,CED,220101,((AQ*2^24)+(AR*2^16)+(AS*2^8)+AT)/10,0,1000000,kWh,7E4
Drive Motor Speed 1,Motor RPM 1,220101,(SIGNED(BB)*256)+BC,-10100,10100,rpm,7E4
Drive Motor Speed 2,Motor RPM 2,220101,(SIGNED(BD)*256)+BE,-10100,10100,rpm,7E4
HV_Charging,Charging,220101,{J:7},0,1,,7E4
Inverter Capacitor Voltage,BMS Capacitor,220101,AZ*256+BA,0,500,V,7E4
Isolation Resistance,Surge Resistor,220101,BF*256+BG,0,1000,kOhm,7E4
Maximum Cell Voltage,Max Cell V,220101,X/50,2.8,4.2,V,7E4
Maximum Cell Voltage No.,Max Cell V  No.,220101,Y,0,96,,7E4
Max Deterioration Cell No.,Max Det Cell No.,220105,AB,0,96,,7E4
Minimum Cell Voltage,Min Cell V,220101,Z/50,2.8,4.2,V,7E4
Minimum Cell Voltage No.,Min Cell V  No.,220101,AA,0,96,,7E4
Minimum Deterioration,Min Det,220105,(AC*256+AD)/10,0,100,%,7E4
Min Deterioration Cell No.,Min Det Cell No.,220105,AE,0,96,,7E4
Normal Charge Port,J1772 Plug,220101,{J:5},0,1,,7E4
Operating Time,OpTime,220101,((AU*2^24)+(AV*2^16)+(AW*2^8)+AX)/3600,0,1000000,hours,7E4
Rapid Charge Port,Chademo Plug,220101,{J:6},0,1,,7E4
State of Charge BMS,SOC BMS,220101,E/2,0,100,%,7E4
State of Charge Display,SOC Display,220105,AF/2,0,100,%,7E4
State of Health,SOH,220105,(Z*256+AA)/10,0,100,%,7E4
